certNumber,certType,city,critical,customerNumber,direct,inspectionDate,inspectionDateString,legalName,nonCritical,reportLink,siteName,state,teachableMoments,zip,hash_id
43-A-5942,Class A - Breeder,LANCASTER,0,10020,0,2015-03-17,3/17/2015,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgX2u&d=%2Fa%2F3d000000pbgz%2FYS9SYfyinrXnKf1wvTQpQJ4Pct4E8msTJ5FdJxK89e8&asPdf=false,CYNTHIA STUMP,Missouri,0,63548,93b06b73a40ddcf8
43-A-5942,Class A - Breeder,LANCASTER,0,10020,0,2015-09-09,9/9/2015,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgiA4&d=%2Fa%2F3d000000pb4r%2FkLcSb7E8Xefw3ZHwibTNSXK.mvbnZKPigM7P0vL5T60&asPdf=false,CYNTHIA STUMP,Missouri,0,63548,151e3456d57acd5d
43-A-5942,Class A - Breeder,LANCASTER,0,10020,0,2016-07-13,7/13/2016,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egm2Z&d=%2Fa%2F3d000000pf1t%2FYaBRUZsw_XuOO4ngofuic.k7yJPHgSgSt1ApiWbxZjQ&asPdf=false,CYNTHIA STUMP,Missouri,0,63548,4d2c50598712e7e8
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2017-07-28,7/28/2017,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Ega6d&d=%2Fa%2F3d000000pbGe%2F4ACUoBA9Dl1.qLol_mIx5O_gtDWMSkolMifCCkqJ5eE&asPdf=false,Cynthia Stump,Missouri,0,63548,41f859f8c75175f7
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2018-03-27,3/27/2018,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgkWv&d=%2Fa%2F3d000000pbGw%2FJftose2wsEbB.2v6pfXsY89OGb1caGeAu8OH_pCZAlM&asPdf=false,Cynthia Stump,Missouri,0,63548,87ccd47926f4fdd4
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2019-05-08,5/8/2019,Cynthia Stump,1,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000EgeyU&d=%2Fa%2F3d000000pbFb%2FIxb09AfaUic7Fvl53Yq.Vdir85fJKeCdGnWnUXdri9Y&asPdf=false,Cynthia Stump,Missouri,0,63548,53ad63f25a74f90b
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2019-08-15,8/15/2019,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000Egl4V&d=%2Fa%2F3d000000pbGj%2FR0XAfcpOXm1Y8G.F0mPKPm7fShJa72ZJ_SLNy1iyVTE&asPdf=false,Cynthia Stump,Missouri,0,63548,e513f9b6c7f44f23
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2021-11-30,11/30/2021,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000V8gvZ&d=%2Fa%2F3d000000pbFa%2Fdcp1263RndwIW11vKj500bkXwRoaSFeLdnKtPmIsLfE&asPdf=false,Cynthia Stump,Missouri,0,63548,ab73eb49f7d4d806
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2022-01-03,1/3/2022,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068t000000V8xwg&d=%2Fa%2F3d000000pbGJ%2FjCygxWfjtLeHWgvnRFZ78CW.KGWmkt_fFv00AE_ATY8&asPdf=false,Cynthia Stump,Missouri,0,63548,c4ccc9d620159bb6
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2023-01-19,1/19/2023,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d000007dm4B&d=%2Fa%2F3d000000yGRe%2FlFTq.yZh1_eI6NldYRJHDHUADRV2DzW8mayrGXIot0w&asPdf=false,Cynthia Stump,Missouri,0,63548,5e7912fb1a0ebc47
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2024-02-01,2/1/2024,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=0683d00000C1jnI&d=%2Fa%2F3d000002S2TO%2FRAH7MVij5JnXitUsI61tx45lLBgGL4bzOyUGK1Y4_xU&asPdf=false,Cynthia Stump,Missouri,0,63548,0b1fe627eb177e49
43-A-6252,Class A - Breeder,Lancaster,0,10020,0,2024-10-15,10/15/2024,Cynthia Stump,0,https://aphis.file.force.com/sfc/dist/version/download/?oid=00Dt0000000GyZH&ids=068SJ000009mzLr&d=%2Fa%2FSJ000000iGQr%2FrC9xu8xlszQYv6fb889q55Tp8NYAQ5VBU3uTu.vQgTw&asPdf=false,Cynthia Stump,Missouri,0,63548,7f824a0248c47a13
